name,address,city,phone,phone_formatted,website,rating,reviews,latitude,longitude,lead_score,category,status,scraped_at,source
The Barbershop Premium - Casablanca,"Barbier · 3 Rue Bab Al Irfane
Ouvre bientôt · 10:00",Casablanca,,,,4.7,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:02:54.242465,google_maps
Barber shop casablanca COUPE KING ️ Barber shop Casablanca oulfa.The barbershop casablanca.La meilleure BarberShop,"Barbier · N, Sidi abderrahim quartier oulfa Rue 36 GH6
Ouvert · Ferme à 00:00",Casablanca,,,,4.7,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:02:54.243038,google_maps
The 99 Barbershop Casablanca,"Barbier ·  · 106 Rue Jounaïd
Ouvre bientôt · 10:00",Casablanca,,,,4.9,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:02:54.243629,google_maps
Barber Shop Star Club,"Salon de coiffure · 16 Bd Abdellatif Ben Kaddour
Ouvre bientôt · 10:00",Casablanca,,,,4.9,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:02:54.243666,google_maps
The Premium Barbershop,"Barbier ·  · Résidence rio2, 62 Bd Abdellatif Ben Kaddour
Ouvre bientôt · 10:00",Casablanca,,,,4.8,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:02:54.243679,google_maps
The First Barbershop maarif,"Barbier · 8 Rue Abou Abbas Sebti
Ouvre bientôt · 10:00",Casablanca,,,,4.8,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:02:54.243692,google_maps
The BarberShop - Casablanca,"Barbier ·  · Angle Avenue Ahmed Charci Et Ali Abderrazzak Résidence Pavillon D’or
Ouvre bientôt · 10:00",Casablanca,,,,4.1,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:02:54.243702,google_maps
The BARBER SHOP - CASABLANCA (STAR),"Barbier · 5 Rue Abou Zaid Addadoussi
Ouvre bientôt · 10:00",Casablanca,,,,4.8,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:02:54.243727,google_maps
The barbershop-Casablanca,"Barbier ·  · etg m6, 4 rue charaf eddine ibn mata
Ouvert · Ferme à 23:00",Casablanca,,,,4.5,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:02:54.243740,google_maps
Barbershop Yaqoub,"Barbier · Av. Abdelhamid Ben Badis
Ouvert · Ferme à 22:00",Casablanca,,,,4.9,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:02:54.243750,google_maps
Black Home Barber - Coiffeur Homme Casablanca,"Salon de coiffure · 2 Rue Ahmed El Mokri
Ouvre bientôt · 10:00",Casablanca,,,,4.8,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:02:54.243760,google_maps
Fade O’clock,"Barbier · 88Rue des Écoles
Ouvre bientôt · 10:00",Casablanca,,,,,,,,50,Barbershop,OPERATIONAL,2026-06-29T09:02:54.243770,google_maps
Zero to one barbershop,"Salon de coiffure · 5 Av. Hassan Souktani
Ouvre bientôt · 10:00",Casablanca,,,,4.9,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:02:54.243780,google_maps
Barber lounge by Anwar,"Barbier · Rue Taha Hussein
Fermé · Ouvre à 10:30",Casablanca,,,,4.8,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:02:54.243789,google_maps
Barber Lounge Maarif (by Anwar),"Barbier · 23 Rue Zaid Bnou Rifaa
Fermé · Ouvre à 10:30",Casablanca,,,,4.9,,,,60,Barbershop,OPERATIONAL,2026-06-29T09:02:54.243798,google_maps
